review,sentiment
"Visi ekonomi pasangan AMIN sangat relevan dengan kebutuhan UMKM saat ini, ini harapan baru. The economic vision of the AMIN pair is very relevant to current MSME needs, a new hope.",positif
"Prabowo-Gibran membawa angin segar dengan program hilirisasi yang konkret, sangat menjanjikan masa depan bangsa. Prabowo-Gibran bring fresh air with a concrete downstreaming program, very promising for the nation's future.",positif
"Ganjar-Mahfud memiliki rekam jejak yang bersih dan berani memberantas korupsi, ini yang kita butuhkan. Ganjar-Mahfud have a clean track record and dare to eradicate corruption, this is what we need.",positif
"Debat capres kemarin sangat mencerahkan, terlihat mana yang visioner dan berintegritas. Yesterday's presidential debate was very enlightening, showing who is visionary and has integrity.",positif
"Melihat antusiasme relawan, optimisme kemenangan pasangan 01 semakin besar di berbagai daerah. Seeing the enthusiasm of volunteers, optimism for the victory of pair 01 is growing in various regions.",positif
"Program ekonomi Anies Baswedan terdengar idealis tapi belum jelas cara implementasinya di lapangan. Anies Baswedan's economic program sounds idealistic but its implementation method on the ground is unclear.",netral
"Dinulika politik pilpres 2024 masih sangat cair, sulit diprediksi siapa yang akan menang. The political dynamics of the 2024 presidential election are still very fluid, making it difficult to predict who will win.",netral
"Masyarakat masih menimbang-nimbang janji-janji kampanye, perlu bukti nyata ke depan. People are still weighing campaign promises, actual proof is needed in the future.",netral
"Masing-masing paslon memiliki basis pendukung yang loyal di daerahnya. Each candidate pair has a loyal support base in their respective regions.",netral
"Banyak pengamat menilai Pemilu 2024 akan menjadi pesta demokrasi yang menarik. Many observers consider the 2024 Election will be an interesting democratic feast.",netral
"Janji-janji kampanye paslon 02 tentang ketahanan pangan terdengar bagus tapi sangat sulit terwujud. Campaign promises of pair 02 on food security sound good but are very difficult to realize.",negatif
"Slogan 'perubahan' yang digaungkan pasangan AMIN belum menyentuh isu-isu akar rumput secara konkret. The 'change' slogan championed by the AMIN pair has not touched grassroots issues concretely.",negatif
"Saya skeptis dengan integritas politik yang digadang-gadang kubu 03, banyak drama yang menyertai. I'm skeptical of the political integrity promoted by camp 03, many dramas accompany it.",negatif
"Media massa banyak memberitakan bias dukungan terhadap paslon tertentu, ini mencemari netralitas. Mass media widely reported biased support for certain candidate pairs, this taints neutrality.",negatif
"Masa lalu gelap beberapa politisi yang kini menjadi timses pilpres membuat saya sangat khawatir. The dark past of some politicians who are now presidential campaign teams makes me very concerned.",negatif
"Program hilirisasi Gibran terdengar inovatif dan berdampak positif bagi ekonomi, bisa jadi gebrakan baru. Gibran's downstreaming program sounds innovative and has a positive impact on the economy, it could be a new breakthrough.",positif
